,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_is_superhost,latitude,longitude,minimum_nights,instant_bookable,is_business_travel_ready,tv,wifi,kitchen,washer,dryer,heating,free_parking,smoking_allowed,property_type,neighbourhood,room_type,cancellation_policy,bed_type
13932,2,1.0,2,63.0,25.0,200.0,14.0,2,11.114779830579758,62.83496378293753,False,52.44595439264582,13.515258689364364,2,False,False,True,True,True,True,True,True,False,True,1,7,1,2,0
13933,2,1.0,1,38.0,0.0,0.0,0.0,1,3.747284353571748,45.160435168160326,False,52.49244968656742,13.4368858906862,5,True,False,False,True,True,True,True,True,False,False,1,0,1,2,0
13934,2,1.0,1,49.0,15.0,0.0,0.0,1,4.78597267498258,50.634232090151755,False,52.492379040339664,13.350768262459473,2,False,False,False,True,True,True,True,True,False,True,1,5,0,1,0
13935,2,1.5,1,29.0,0.0,0.0,0.0,1,0.9195973584132684,47.867357784738175,False,52.52488696879651,13.415965179900171,6,False,False,True,True,True,True,True,True,False,False,1,1,0,2,0
13936,2,1.0,1,40.0,20.0,0.0,10.0,1,3.873216574131266,53.089188631538285,True,52.5083781671169,13.458957492070992,2,False,False,False,True,True,True,True,True,False,False,1,0,0,1,0
13937,2,1.0,1,27.0,20.0,0.0,10.0,1,5.133145973968347,30.0,False,52.475041951427954,13.422214732417393,2,False,False,False,True,True,True,True,True,False,False,1,3,0,2,0
13938,1,1.0,1,40.0,0.0,0.0,0.0,1,3.6197150765061687,43.70855549344866,False,52.48880998685068,13.420311985145547,1,False,False,False,True,True,True,True,True,False,False,1,0,0,1,0
13939,1,1.0,1,35.0,0.0,0.0,25.0,1,2.4321468601778826,53.64894016723237,True,52.50179515068818,13.42492153770475,3,False,False,False,True,False,False,True,True,False,False,1,0,0,2,0
13940,4,1.0,1,125.0,40.0,82.0,15.0,2,2.7556313243438963,50.0,True,52.497616558469325,13.422475215410598,1,True,False,True,True,True,True,True,True,False,False,1,0,1,2,0
13941,2,1.0,1,15.0,0.0,0.0,0.0,1,4.7751375276476224,37.858423757376855,False,52.54657644378553,13.349546806248435,1,False,False,False,True,True,True,True,False,False,False,1,1,2,1,0
13942,2,1.0,1,41.0,15.0,0.0,0.0,1,4.786582204084621,48.10590881375421,False,52.48161544150568,13.437007337891336,12,True,False,False,True,True,False,False,True,False,False,1,3,1,2,0
13943,2,1.0,1,40.0,30.0,200.0,15.0,1,3.2069015709025472,150.0,False,52.493358102564066,13.423144757372134,4,False,False,False,True,True,True,True,True,False,True,1,3,0,0,0
13944,2,1.0,1,20.0,0.0,0.0,8.0,1,3.9176717663854217,43.1405903694919,False,52.53476638469032,13.352420049200544,2,False,False,False,True,True,True,False,True,False,False,1,1,0,2,0
13945,1,1.0,1,15.0,0.0,0.0,0.0,1,4.7865988632455805,35.76998576146635,False,52.56093512671154,13.383103976184161,5,False,False,False,True,True,True,True,True,False,True,1,1,0,2,0
13946,2,1.0,1,25.0,20.0,0.0,10.0,1,14.149097690467505,10.0,False,52.54651496308932,13.200409512008653,2,True,False,True,True,False,True,True,True,False,False,2,11,0,0,0
13947,2,1.0,1,28.0,0.0,0.0,0.0,1,2.11094916267769,42.05281188425576,False,52.503110395050875,13.419243124515624,1,True,False,False,True,True,True,False,True,False,True,1,0,0,1,0
13948,1,1.0,1,32.0,25.0,0.0,0.0,1,3.9889760682180486,44.55312547598908,False,52.515858230393064,13.463558767101462,3,True,False,True,True,True,False,False,True,False,False,1,0,0,1,0
13949,2,1.0,1,50.0,20.0,0.0,10.0,2,3.874779162465807,55.668127469228175,False,52.5185062386316,13.462214370019588,2,False,False,False,True,True,True,False,True,False,True,1,0,1,1,0
13950,2,1.0,1,60.0,35.0,0.0,0.0,1,4.259761515628388,80.0,False,52.511686494605215,13.466451725638828,7,False,False,False,True,True,True,True,True,False,False,1,0,1,0,0
13951,3,1.0,0,350.0,0.0,0.0,0.0,1,5.831123112226714,12.0,False,52.47409927879461,13.446655493286945,2,False,False,False,True,True,True,False,True,True,True,1,3,1,1,0
13952,2,1.0,1,40.0,10.0,0.0,5.0,1,5.432740031385988,10.0,False,52.47877104101978,13.448063036472517,1,True,False,False,True,True,True,False,True,False,False,1,3,0,2,0
13953,3,1.0,1,26.0,15.0,0.0,7.0,1,3.306429507874018,48.71616910560769,False,52.52524852536345,13.453103569335836,1,False,False,False,True,True,True,True,True,False,True,1,0,0,1,0
13954,2,1.0,1,60.0,0.0,0.0,0.0,1,6.103417457501003,90.0,False,52.46776787693059,13.432710145913992,4,False,False,False,True,True,True,True,True,False,False,1,3,1,1,0
13955,1,1.0,1,14.0,0.0,0.0,0.0,1,6.3341867071500015,35.4040528190496,False,52.46847334363577,13.444894404185538,4,False,False,True,True,True,True,False,True,True,False,1,3,0,1,0
13956,3,1.0,1,110.0,90.0,200.0,15.0,3,6.6389593093862995,15.0,False,52.49966434280157,13.312766504254432,3,False,False,False,True,True,False,False,True,False,False,1,4,1,0,0
13957,3,1.0,1,60.0,0.0,0.0,0.0,1,3.634047192806916,54.20498943489504,False,52.49033696442019,13.427537886718525,4,True,False,True,True,True,True,True,True,False,True,1,3,1,1,0
13958,2,1.0,1,22.0,0.0,0.0,0.0,1,4.976097058647309,40.06421039554088,False,52.50333138555278,13.473240043530932,1,False,False,False,True,True,True,False,True,False,False,1,6,0,1,0
13959,2,1.0,0,55.0,10.0,0.0,0.0,1,3.406378422576485,20.0,False,52.5091394865745,13.452069320280087,2,False,False,False,True,True,True,True,True,False,False,1,0,1,2,0
13960,3,1.0,1,70.0,15.0,150.0,25.0,2,4.992225943843391,10.0,False,52.56489266954754,13.40591296861038,3,True,False,True,True,True,True,True,True,False,False,1,2,1,2,0
13961,2,1.0,1,75.0,20.0,0.0,15.0,1,0.3340212062155252,66.56107971254218,False,52.51867602175744,13.409431285297662,1,False,False,True,True,True,False,True,False,False,False,1,1,1,2,0
13962,2,1.0,1,25.0,8.0,200.0,4.0,1,8.711400717298071,28.0,False,52.57538521894166,13.313881737634366,2,False,False,False,True,True,False,True,False,False,False,1,9,0,0,0
13963,2,1.0,1,50.0,15.0,0.0,0.0,1,3.5960364057105223,50.98863417080707,False,52.49928636490372,13.445806104196105,3,False,False,False,True,True,True,True,True,False,False,1,0,0,1,0
